epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.6296,2.10308,3.77216,1.94142,0.18022,0.25401,0.16123,0.05976,2.03855,2.19051,1.7985,4.23619e-05,4.23619e-05,4.23619e-05
2,169.122,1.78983,2.22317,1.61205,0.29296,0.394,0.30255,0.13562,1.86491,1.58547,1.58074,8.41868e-05,8.41868e-05,8.41868e-05
3,252.533,1.70328,1.86981,1.51486,0.3356,0.40549,0.32935,0.15379,1.80859,1.53968,1.56962,0.000125167,0.000125167,0.000125167
4,334.528,1.62482,1.76167,1.46812,0.42962,0.42906,0.39684,0.1914,1.75833,1.37355,1.48576,0.000124198,0.000124198,0.000124198
5,417.363,1.59447,1.63378,1.43947,0.41259,0.49188,0.39169,0.18161,1.7162,1.39939,1.49659,0.000122931,0.000122931,0.000122931
6,500.081,1.59299,1.55281,1.43483,0.49312,0.49049,0.4912,0.22057,1.76445,1.25649,1.4951,0.000121664,0.000121664,0.000121664
7,583.536,1.56177,1.48629,1.39775,0.53978,0.54159,0.5127,0.2414,1.6926,1.21516,1.45691,0.000120397,0.000120397,0.000120397
8,665.782,1.53411,1.40791,1.38343,0.46844,0.54356,0.46903,0.22923,1.68567,1.30738,1.43152,0.00011913,0.00011913,0.00011913
9,748.377,1.51302,1.34738,1.37584,0.43185,0.4785,0.42737,0.22133,1.65138,1.247,1.39765,0.000117862,0.000117862,0.000117862
10,831.295,1.50124,1.34431,1.36962,0.45635,0.52354,0.48813,0.23581,1.69544,1.11587,1.40598,0.000116595,0.000116595,0.000116595
11,913.483,1.46752,1.27367,1.35024,0.54601,0.48015,0.50034,0.25759,1.62558,1.08209,1.36345,0.000115328,0.000115328,0.000115328
12,996.294,1.45212,1.25243,1.33858,0.57319,0.50698,0.53706,0.25782,1.63558,1.09683,1.39104,0.000114061,0.000114061,0.000114061
13,1086.53,1.427,1.19568,1.32005,0.52713,0.53365,0.50344,0.25995,1.61855,1.07981,1.37022,0.000112794,0.000112794,0.000112794
14,1169.31,1.42071,1.17318,1.30607,0.46012,0.55251,0.49809,0.25498,1.64068,1.05713,1.3762,0.000111526,0.000111526,0.000111526
15,1251.06,1.4148,1.14101,1.29855,0.53057,0.49781,0.50056,0.26038,1.58709,1.02975,1.34509,0.000110259,0.000110259,0.000110259
16,1335.44,1.39644,1.11789,1.29678,0.55272,0.52369,0.51827,0.26991,1.62485,1.02865,1.34974,0.000108992,0.000108992,0.000108992
17,1423.05,1.37655,1.0746,1.27969,0.64312,0.50994,0.53853,0.28263,1.59326,0.98824,1.34534,0.000107725,0.000107725,0.000107725
18,1511.62,1.37068,1.05868,1.27635,0.54965,0.55978,0.53887,0.29215,1.57357,1.01056,1.33092,0.000106458,0.000106458,0.000106458
19,1598.77,1.34832,1.02379,1.25937,0.57925,0.57142,0.5722,0.2893,1.57484,0.93925,1.32826,0.00010519,0.00010519,0.00010519
20,1690.21,1.35645,1.01584,1.25269,0.56798,0.54302,0.5387,0.28219,1.61144,0.95477,1.34908,0.000103923,0.000103923,0.000103923
21,1775.77,1.343,1.00905,1.25053,0.64569,0.57334,0.59507,0.31155,1.54692,0.91054,1.3016,0.000102656,0.000102656,0.000102656
22,1865.41,1.31977,0.97212,1.24168,0.58259,0.61429,0.5669,0.29461,1.58448,0.9219,1.34085,0.000101389,0.000101389,0.000101389
